What is the capital of France?,Paris,Paris,Rome,Berlin
What is the largest ocean on Earth?,Pacific Ocean,Pacific Ocean,Atlantic Ocean,Indian Ocean
What is the capital of Italy?,Rome,Rome,Milan,Florence
Who is the creator of the theory of relativity?,Albert Einstein,Albert Einstein,Isaac Newton,Niels Bohr
What is the chemical symbol for silver?,Ag,Ag,Au,Cu
What is the closest star to Earth?,The Sun,The Sun,Moon,Sirius
Who wrote the play Hamlet?,William Shakespeare,William Shakespeare,Charles Dickens,Jane Austen
What is the chemical symbol for carbon?,C,C,Co,Ca
What is the second most abundant gas in Earth's atmosphere?,Oxygen (O2),Oxygen (O2),Nitrogen (N2),Carbon dioxide (CO2)
Who painted the Starry Night?,Vincent van Gogh,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
What is the capital of India?,New Delhi,New Delhi,Mumbai,Bangalore
What is the largest bird in the world?,Ostrich,Ostrich,Emu,Albatross
What is the atomic number of hydrogen?,1,1,2,3
What is the chemical formula for table salt?,NaCl,NaCl,H2O,CO2
What is the largest moon in the solar system?,Ganymede,Ganymede,Titan,Callisto
What is the smallest planet in our solar system?,Mercury,Mercury,Venus,Pluto
Who wrote The Catcher in the Rye?,J.D. Salinger,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald
What gas do humans exhale when they breathe?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of Australia?,Canberra,Canberra,Sydney,Melbourne
What is the chemical symbol for iron?,Fe,Fe,Cu,Au
What is the largest snake in the world?,Green Anaconda,Green Anaconda,Reticulated Python,King Cobra
What is the chemical formula for methane?,CH4,CH4,C2H6,H2O
What is the largest planet in the Milky Way galaxy?,Jupiter,Jupiter,Earth,Saturn
Who wrote The Great Gatsby?,F. Scott Fitzgerald,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck
What is the chemical symbol for helium?,He,He,H2,Ne
What is the most common gas in Earth's atmosphere?,Nitrogen (N2),Nitrogen (N2),Oxygen (O2),Carbon dioxide (CO2)
Who is the author of the Harry Potter series?,J.K. Rowling,J.K. Rowling,J.R.R. Tolkien,George R.R. Martin
What is the smallest country in the world?,Vatican City,Vatican City,Monaco,Liechtenstein
What is the chemical symbol for potassium?,K,K,P,Na
What is the largest planet in our solar system by mass?,Jupiter,Jupiter,Saturn,Neptune
Who wrote The Odyssey?,Homer,Homer,Plato,Aristotle
What gas do plants release as a byproduct of photosynthesis?,Oxygen (O2),Oxygen (O2),Carbon dioxide (CO2),Nitrogen (N2)
What is the capital of Brazil?,Brasília,Brasília,Rio de Janeiro,São Paulo
What is the chemical symbol for lead?,Pb,Pb,Fe,Cu
What is the closest galaxy to the Milky Way?,Andromeda Galaxy,Andromeda Galaxy,Sombrero Galaxy,Triangulum Galaxy
What is the national flower of the United States?,Rose,Rose,Tulip,Sunflower
What is the chemical symbol for nitrogen?,N2,N2,NaCl,H2O
What is the smallest bone in the human body?,Stapes,Stapes,Femur,Humerus
What gas do plants use to perform photosynthesis?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the largest volcano in the solar system?,Olympus Mons,Olympus Mons,Mauna Loa,Mt. Everest
Who is the author of The Lord of the Rings?,J.R.R. Tolkien,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling
What is the chemical symbol for copper?,Cu,Cu,Au,Ag
What is the largest planet in our solar system by diameter?,Jupiter,Jupiter,Saturn,Neptune
Who wrote The Iliad?,Homer,Homer,Plato,Aristotle
What gas is produced when you mix vinegar and baking soda?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of Canada?,Ottawa,Ottawa,Toronto,Vancouver
What is the chemical symbol for uranium?,U,U,Th,Pb
What is the largest cat species in the world?,Siberian Tiger,Siberian Tiger,Lion,Leopard
What is the chemical formula for glucose?,C6H12O6,C6H12O6,CH4,H2O
What is the largest moon of Saturn?,Titan,Titan,Enceladus,Rhea
What is the fifth planet from the sun in our solar system?,Jupiter,Jupiter,Saturn,Mars
Who wrote Moby-Dick?,Herman Melville,Herman Melville,Mark Twain,Emily Brontë
What gas do humans inhale when they breathe?,Oxygen (O2),Oxygen (O2),Carbon dioxide (CO2),Nitrogen (N2)
What is the capital of South Africa?,Pretoria,Pretoria,Cape Town,Johannesburg
What is the chemical symbol for silver?,Ag,Ag,Au,Cu
What is the largest bird of prey in the world?,Andean Condor,Andean Condor,Bald Eagle,Golden Eagle
What is the chemical formula for water vapor?,H2O,H2O,CO2,CH4
What is the largest planet in the universe?,Jupiter,Jupiter,Saturn,Neptune
Who wrote The Grapes of Wrath?,John Steinbeck,John Steinbeck,Ernest Hemingway,F. Scott Fitzgerald
What is the chemical symbol for neon?,Ne,Ne,H2,He
What is the most abundant element in the universe?,Hydrogen (H),Hydrogen (H),Helium (He),Oxygen (O)
Who is the author of The Chronicles of Narnia?,C.S. Lewis,C.S. Lewis,J.R.R. Tolkien,Philip Pullman
What is the smallest planet in our solar system by mass?,Mercury,Mercury,Venus,Mars
What gas do plants need for photosynthesis?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of China?,Beijing,Beijing,Shanghai,Guangzhou
What is the chemical symbol for tin?,Sn,Sn,Fe,Pb
What is the closest star system to the Sun?,Alpha Centauri,Alpha Centauri,Sirius,Barnard's Star
What is the national flower of England?,Rose,Rose,Tulip,Daffodil
What is the chemical symbol for phosphorus?,P,P,K,C
What is the largest bone in the human body?,Femur,Femur,Humerus,Tibia
What gas do plants release at night?,Oxygen (O2),Oxygen (O2),Carbon dioxide (CO2),Nitrogen (N2)
What is the tallest mountain in Africa?,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kenya,Table Mountain
Who wrote The Divine Comedy?,Dante Alighieri,Dante Alighieri,Geoffrey Chaucer,Petrarch
What is the capital of Russia?,Moscow,Moscow,St. Petersburg,Novosibirsk
What is the chemical symbol for mercury?,Hg,Hg,Me,Mn
What is the smallest planet in our solar system by size?,Mercury,Mercury,Venus,Pluto
Who wrote The Picture of Dorian Gray?,Oscar Wilde,Oscar Wilde,Charles Dickens,Jane Austen
What gas do humans exhale when they breathe out?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of Argentina?,Buenos Aires,Buenos Aires,Cordoba,Mendoza
What is the chemical symbol for magnesium?,Mg,Mg,Mn,Cu
What is the largest species of penguin?,Emperor Penguin,Emperor Penguin,Adélie Penguin,King Penguin
What is the chemical formula for carbon dioxide?,CO2,CO2,H2O,CH4
What is the largest planet in the solar system by volume?,Jupiter,Jupiter,Saturn,Neptune
Who wrote War and Peace?,Leo Tolstoy,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov
What is the chemical symbol for potassium?,K,K,P,Na
What is the closest galaxy to the Milky Way?,Andromeda Galaxy,Andromeda Galaxy,Sombrero Galaxy,Triangulum Galaxy
What is the national flower of Japan?,Cherry Blossom,Cherry Blossom,Rose,Lotus
What is the chemical symbol for nitrogen?,N2,N2,NaCl,H2O
What is the smallest bone in the human body?,Stapes,Stapes,Femur,Humerus
What gas do plants use to perform photosynthesis?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the largest volcano in the solar system?,Olympus Mons,Olympus Mons,Mauna Loa,Mt. Everest
Who is the author of The Lord of the Rings?,J.R.R. Tolkien,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling
What is the chemical symbol for copper?,Cu,Cu,Au,Ag
What is the largest planet in our solar system by diameter?,Jupiter,Jupiter,Saturn,Neptune
Who wrote The Iliad?,Homer,Homer,Plato,Aristotle
What gas is produced when you mix vinegar and baking soda?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of Canada?,Ottawa,Ottawa,Toronto,Vancouver
What is the chemical symbol for uranium?,U,U,Th,Pb
What is the largest cat species in the world?,Siberian Tiger,Siberian Tiger,Lion,Leopard
What is the chemical formula for glucose?,C6H12O6,C6H12O6,CH4,H2O
What is the largest moon of Saturn?,Titan,Titan,Enceladus,Rhea
What is the fifth planet from the sun in our solar system?,Jupiter,Jupiter,Saturn,Mars
Who wrote Moby-Dick?,Herman Melville,Herman Melville,Mark Twain,Emily Brontë
What gas do humans inhale when they breathe?,Oxygen (O2),Oxygen (O2),Carbon dioxide (CO2),Nitrogen (N2)
What is the capital of South Africa?,Pretoria,Pretoria,Cape Town,Johannesburg
What is the chemical symbol for silver?,Ag,Ag,Au,Cu
What is the largest bird of prey in the world?,Andean Condor,Andean Condor,Bald Eagle,Golden Eagle
What is the chemical formula for water vapor?,H2O,H2O,CO2,CH4
What is the largest planet in the universe?,Jupiter,Jupiter,Saturn,Neptune
Who wrote The Grapes of Wrath?,John Steinbeck,John Steinbeck,Ernest Hemingway,F. Scott Fitzgerald
What is the chemical symbol for neon?,Ne,Ne,H2,He
What is the most abundant element in the universe?,Hydrogen (H),Hydrogen (H),Helium (He),Oxygen (O)
Who is the author of The Chronicles of Narnia?,C.S. Lewis,C.S. Lewis,J.R.R. Tolkien,Philip Pullman
What is the smallest planet in our solar system by mass?,Mercury,Mercury,Venus,Mars
What gas do plants need for photosynthesis?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of China?,Beijing,Beijing,Shanghai,Guangzhou
What is the chemical symbol for tin?,Sn,Sn,Fe,Pb
What is the closest star system to the Sun?,Alpha Centauri,Alpha Centauri,Sirius,Barnard's Star
What is the national flower of England?,Rose,Rose,Tulip,Daffodil
What is the chemical symbol for phosphorus?,P,P,K,C
What is the largest bone in the human body?,Femur,Femur,Humerus,Tibia
What gas do plants release at night?,Oxygen (O2),Oxygen (O2),Carbon dioxide (CO2),Nitrogen (N2)
What is the tallest mountain in Africa?,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kenya,Table Mountain
Who wrote The Divine Comedy?,Dante Alighieri,Dante Alighieri,Geoffrey Chaucer,Petrarch
What is the capital of Russia?,Moscow,Moscow,St. Petersburg,Novosibirsk
What is the chemical symbol for mercury?,Hg,Hg,Me,Mn
What is the smallest planet in our solar system by size?,Mercury,Mercury,Venus,Pluto
Who wrote The Picture of Dorian Gray?,Oscar Wilde,Oscar Wilde,Charles Dickens,Jane Austen
What gas do humans exhale when they breathe out?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the capital of Argentina?,Buenos Aires,Buenos Aires,Cordoba,Mendoza
What is the chemical symbol for magnesium?,Mg,Mg,Mn,Cu
What is the largest species of penguin?,Emperor Penguin,Emperor Penguin,Adélie Penguin,King Penguin
What is the chemical formula for carbon dioxide?,CO2,CO2,H2O,CH4
What is the largest planet in the solar system by volume?,Jupiter,Jupiter,Saturn,Neptune
Who wrote War and Peace?,Leo Tolstoy,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov
What is the chemical symbol for potassium?,K,K,P,Na
What is the closest galaxy to the Milky Way?,Andromeda Galaxy,Andromeda Galaxy,Sombrero Galaxy,Triangulum Galaxy
What is the national flower of Japan?,Cherry Blossom,Cherry Blossom,Rose,Lotus
What is the chemical symbol for nitrogen?,N2,N2,NaCl,H2O
What is the smallest bone in the human body?,Stapes,Stapes,Femur,Humerus
What gas do plants use to perform photosynthesis?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
What is the largest volcano in the solar system?,Olympus Mons,Olympus Mons,Mauna Loa,Mt. Everest
